
Dataset: wisconsin():
======================
Number of graphs: 1
Number of features: 1703
Number of classes: 5

Data(x=[251, 1703], edge_index=[2, 515], y=[251], train_mask=[251, 10], val_mask=[251, 10], test_mask=[251, 10])
===========================================================================================================
Shape of the new adjacency matrix:  torch.Size([251, 251])
Number of nodes:  251
Number of edges:  515
Density:  0.0082
Maximum node degree:  122
Minimum node degree:  0
Average node degree:  2
Has isolated nodes: False
Has self-loops: True
Is undirected: False
===========================================================================================================
Device:  cuda:0
===========================================================================================================
Split:  0
===========================================================================================================
Epoch: 054, Loss: 0.8463, Train Acc: 1.0000, Val Acc: 0.8000, Test Acc: 0.8431
Epoch: 055, Loss: 0.8623, Train Acc: 0.9917, Val Acc: 0.8500, Test Acc: 0.8235
Epoch: 056, Loss: 0.8511, Train Acc: 0.9917, Val Acc: 0.8125, Test Acc: 0.7255
Epoch: 057, Loss: 0.8989, Train Acc: 0.9667, Val Acc: 0.8625, Test Acc: 0.8235
Epoch: 058, Loss: 0.8231, Train Acc: 1.0000, Val Acc: 0.8375, Test Acc: 0.8039
Epoch: 059, Loss: 0.8234, Train Acc: 0.9917, Val Acc: 0.8125, Test Acc: 0.7843
Epoch: 060, Loss: 0.8664, Train Acc: 0.9750, Val Acc: 0.8375, Test Acc: 0.7843
Epoch: 061, Loss: 0.8644, Train Acc: 0.9833, Val Acc: 0.8625, Test Acc: 0.7647
Epoch: 062, Loss: 0.8073, Train Acc: 1.0000, Val Acc: 0.8375, Test Acc: 0.7255
Epoch: 063, Loss: 0.9679, Train Acc: 0.9667, Val Acc: 0.9250, Test Acc: 0.8235
Epoch: 064, Loss: 0.8125, Train Acc: 1.0000, Val Acc: 0.9000, Test Acc: 0.8039
Epoch: 065, Loss: 0.8403, Train Acc: 0.9917, Val Acc: 0.8375, Test Acc: 0.7647
Epoch: 066, Loss: 0.8150, Train Acc: 0.9917, Val Acc: 0.8375, Test Acc: 0.7647
Epoch: 067, Loss: 0.8002, Train Acc: 1.0000, Val Acc: 0.8250, Test Acc: 0.7647
Epoch: 068, Loss: 0.8628, Train Acc: 0.9833, Val Acc: 0.8375, Test Acc: 0.8039
Epoch: 069, Loss: 0.8116, Train Acc: 0.9750, Val Acc: 0.8750, Test Acc: 0.8235
Epoch: 070, Loss: 0.7979, Train Acc: 0.9917, Val Acc: 0.9000, Test Acc: 0.8235
Epoch: 071, Loss: 0.7799, Train Acc: 1.0000, Val Acc: 0.8875, Test Acc: 0.8235
Epoch: 072, Loss: 0.8268, Train Acc: 0.9833, Val Acc: 0.9000, Test Acc: 0.8039
Epoch: 073, Loss: 0.7901, Train Acc: 0.9917, Val Acc: 0.8875, Test Acc: 0.7843
Epoch: 074, Loss: 0.7808, Train Acc: 1.0000, Val Acc: 0.8750, Test Acc: 0.8235
Epoch: 075, Loss: 0.7707, Train Acc: 1.0000, Val Acc: 0.8875, Test Acc: 0.8039
Epoch: 076, Loss: 0.7823, Train Acc: 0.9917, Val Acc: 0.8875, Test Acc: 0.8039
Epoch: 077, Loss: 0.7670, Train Acc: 1.0000, Val Acc: 0.8875, Test Acc: 0.8235
Epoch: 078, Loss: 0.7685, Train Acc: 1.0000, Val Acc: 0.8750, Test Acc: 0.8235
Epoch: 079, Loss: 0.7637, Train Acc: 1.0000, Val Acc: 0.8750, Test Acc: 0.8431
Epoch: 080, Loss: 0.8796, Train Acc: 0.9750, Val Acc: 0.8500, Test Acc: 0.8235
Epoch: 081, Loss: 0.7819, Train Acc: 0.9833, Val Acc: 0.8500, Test Acc: 0.8039
Epoch: 082, Loss: 0.8623, Train Acc: 0.9833, Val Acc: 0.8375, Test Acc: 0.7843
Epoch: 083, Loss: 0.7637, Train Acc: 1.0000, Val Acc: 0.8000, Test Acc: 0.7647
Epoch: 084, Loss: 0.7891, Train Acc: 0.9917, Val Acc: 0.8375, Test Acc: 0.7843
Epoch: 085, Loss: 0.7752, Train Acc: 0.9917, Val Acc: 0.8875, Test Acc: 0.8235
Epoch: 086, Loss: 0.7579, Train Acc: 1.0000, Val Acc: 0.8875, Test Acc: 0.8431
Epoch: 087, Loss: 0.7483, Train Acc: 1.0000, Val Acc: 0.8875, Test Acc: 0.8235
Epoch: 088, Loss: 0.7498, Train Acc: 0.9917, Val Acc: 0.8875, Test Acc: 0.8039
Epoch: 089, Loss: 0.7386, Train Acc: 1.0000, Val Acc: 0.8875, Test Acc: 0.8039
Epoch: 090, Loss: 0.8189, Train Acc: 0.9917, Val Acc: 0.8875, Test Acc: 0.8039
Epoch: 091, Loss: 0.7924, Train Acc: 1.0000, Val Acc: 0.8875, Test Acc: 0.8039
Epoch: 092, Loss: 0.7274, Train Acc: 1.0000, Val Acc: 0.8750, Test Acc: 0.8235
Epoch: 093, Loss: 0.7342, Train Acc: 1.0000, Val Acc: 0.8875, Test Acc: 0.8235
Epoch: 094, Loss: 0.7373, Train Acc: 1.0000, Val Acc: 0.9000, Test Acc: 0.8235
Epoch: 095, Loss: 0.7425, Train Acc: 0.9917, Val Acc: 0.9000, Test Acc: 0.8039
Epoch: 096, Loss: 0.7541, Train Acc: 0.9833, Val Acc: 0.8625, Test Acc: 0.8039
Epoch: 097, Loss: 0.7385, Train Acc: 1.0000, Val Acc: 0.8500, Test Acc: 0.8039
Epoch: 098, Loss: 0.7555, Train Acc: 0.9917, Val Acc: 0.8625, Test Acc: 0.8039
